,Name,Club,Overall,Value,foot,SM,W/F,D/W,A/W,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,PAC,SHO,PAS,DRI,DEF,PHY
14,Kalidou Koulibaly,Napoli,89,67500000.0,0,2,3,0,1,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5,71,28,54,67,89,87
15,Antoine Griezmann,FC Barcelona,89,69000000.0,1,4,3,0,0,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14,81,86,84,89,57,72
16,David De Gea Quintana,Manchester United,89,56000000.0,0,1,3,1,1,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92,90,84,81,92,58,85
17,Sergio Busquets Burgos,FC Barcelona,89,55000000.0,0,3,3,1,1,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13,42,62,80,80,85,80
18,Robert Lewandowski,FC Bayern München,89,64500000.0,0,4,4,1,0,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10,77,87,74,85,41,82
19,Luis Suárez,FC Barcelona,89,53000000.0,0,3,4,1,0,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37,73,89,80,84,51,84
20,Sergio Ramos García,Real Madrid,89,31500000.0,0,3,3,1,0,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11,72,68,75,73,87,85
21,Sergio Agüero,Manchester City,89,60000000.0,0,4,4,1,0,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14,80,90,77,88,33,74
22,Giorgio Chiellini,Juventus,89,24500000.0,1,2,3,0,1,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3,68,46,58,60,90,82
23,Paulo Dybala,Juventus,88,76500000.0,1,4,3,1,1,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,5,4,4,5,8,83,82,84,90,43,64
24,Ederson Santana de Moraes,Manchester City,88,54500000.0,1,1,3,1,1,20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88,86,82,93,88,63,86
25,Sadio Mané,Liverpool,88,62000000.0,0,4,4,1,0,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,10,10,15,7,14,94,83,77,89,44,74
26,Raheem Sterling,Manchester City,88,73000000.0,0,4,3,1,0,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,15,12,12,15,9,93,79,78,89,45,57
27,Paul Pogba,Manchester United,88,72500000.0,0,5,4,1,0,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,5,6,2,4,3,74,81,86,85,66,86
28,Thibaut Courtois,Real Madrid,88,48000000.0,1,1,2,1,1,14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,72,85,87,85,89,72,87,49,85
29,Christian Eriksen,Tottenham Hotspur,88,68000000.0,0,4,5,0,0,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,9,14,7,7,6,73,81,90,84,53,63
30,Pierre-Emerick Aubameyang,Arsenal,88,57000000.0,0,4,4,2,1,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9,94,85,75,80,37,69
31,Marco Reus,Borussia Dortmund,88,56000000.0,0,4,4,1,0,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11,85,88,84,87,45,66
32,Toni Kroos,Real Madrid,88,57000000.0,0,3,5,1,1,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,10,11,13,7,10,45,80,90,81,70,69
33,Diego Godín,Inter,88,28000000.0,0,2,3,0,1,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15,60,48,64,61,89,83
34,Edinson Cavani,Paris Saint-Germain,88,47000000.0,0,3,4,0,0,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,12,5,13,13,10,75,86,72,79,55,83
35,David Josué Jiménez Silva,Manchester City,88,36000000.0,1,4,2,1,0,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,6,15,7,6,12,65,74,88,89,52,57
36,Hugo Lloris,Tottenham Hotspur,88,36000000.0,1,1,1,1,1,13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,91,89,82,68,91,63,84
37,Manuel Neuer,FC Bayern München,88,32000000.0,0,1,4,1,1,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,87,91,85,87,87,87,91,87,57,85
38,Samir Handanovič,Inter,88,26000000.0,0,1,2,1,1,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89,88,85,69,89,53,89
39,Gerard Piqué Bernabeu,FC Barcelona,88,38000000.0,0,2,3,1,0,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8,56,61,72,68,88,80
40,Bernardo Mota Carvalho e Silva,Manchester City,87,64000000.0,1,4,3,0,0,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,9,10,14,12,9,81,76,83,92,51,67
41,Aymeric Laporte,Manchester City,87,56500000.0,1,2,3,1,1,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5,64,50,71,68,88,82
42,Carlos Henrique Venancio Casimiro,Real Madrid,87,53500000.0,0,2,3,0,1,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,13,14,16,12,12,62,72,75,72,85,89
43,Heung Min Son,Tottenham Hotspur,87,60000000.0,0,4,5,0,0,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,11,13,13,6,10,88,86,80,87,42,68
44,Lorenzo Insigne,Napoli,87,52000000.0,0,4,4,1,0,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,8,4,14,9,10,89,79,85,91,35,47
45,Keylor Navas,Paris Saint-Germain,87,30500000.0,0,1,3,1,1,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90,90,81,75,90,53,82
46,Thiago Alcântara,FC Bayern München,87,50000000.0,0,5,3,1,1,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,6,11,7,9,13,69,74,85,90,69,63
47,Jordi Alba Ramos,FC Barcelona,87,40000000.0,1,3,3,1,0,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,13,15,13,6,13,90,69,81,83,79,73
48,Toby Alderweireld,Tottenham Hotspur,87,41000000.0,0,2,3,1,1,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,16,6,14,16,14,64,55,72,66,88,79
49,Mats Hummels,Borussia Dortmund,87,41000000.0,0,3,3,1,0,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,15,6,10,5,6,51,58,76,72,89,76
50,Dries Mertens,Napoli,87,40000000.0,0,4,4,2,0,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,88,83,80,91,35,53
51,Jan Vertonghen,Tottenham Hotspur,87,32500000.0,1,3,3,0,0,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7,63,63,74,72,87,79
52,Karim Benzema,Real Madrid,87,45000000.0,0,4,4,2,1,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7,76,82,80,86,39,77
53,Thiago Emiliano da Silva,Paris Saint-Germain,87,18500000.0,0,2,3,0,1,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,9,12,5,9,10,62,54,72,72,87,78
54,Fernando Luiz Rosa,Manchester City,87,19500000.0,0,3,4,0,1,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,12,11,5,13,7,66,74,79,78,84,79
55,Milan Škriniar,Inter,86,52000000.0,0,2,4,0,1,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,10,13,12,8,12,69,41,59,66,87,82
56,Leroy Sané,Manchester City,86,61000000.0,1,4,3,1,0,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,8,12,9,9,14,95,81,79,86,38,70
57,Joshua Kimmich,FC Bayern München,86,48000000.0,0,3,4,2,0,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,8,15,7,15,15,72,69,86,84,79,78
58,Marcos Aoás Corrêa,Paris Saint-Germain,86,51500000.0,0,3,3,0,1,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,6,6,12,10,13,74,41,73,70,86,77
59,Samuel Umtiti,FC Barcelona,86,50000000.0,1,2,3,0,1,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,15,10,14,12,15,69,63,69,69,86,82
60,Roberto Firmino Barbosa de Oliveira,Liverpool,86,47500000.0,0,4,4,0,0,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,8,11,9,6,10,77,82,80,87,61,78
61,Marco Verratti,Paris Saint-Germain,86,54500000.0,0,4,4,0,1,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,12,12,15,15,10,65,60,84,90,79,66
62,Francisco Román Alarcón Suárez,Real Madrid,86,51000000.0,0,4,3,2,1,78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51,10,8,12,15,6,71,77,83,91,59,60
63,Alexandre Lacazette,Arsenal,86,46000000.0,0,4,4,0,0,68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30,11,6,9,5,6,82,85,75,86,40,74
64,Ciro Immobile,Lazio,86,44500000.0,0,3,4,1,0,55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,80,85,63,81,39,76
65,Thomas Müller,FC Bayern München,86,43500000.0,0,3,4,0,0,79,87,81,81,84,75,81,59,72,82,69,75,74,91,71,78,77,86,67,80,61,58,92,85,60,84,44,57,46,6,7,11,14,14,72,83,79,78,55,71
66,Daniel Parejo Muñoz,Valencia CF,86,41000000.0,0,3,4,1,1,84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,5,9,12,14,8,41,80,88,79,70,69
67,Philippe Coutinho Correia,FC Bayern München,86,46500000.0,0,5,4,1,0,79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,12,7,9,14,6,79,80,84,90,52,64
68,Wojciech Szczęsny,Juventus,86,37500000.0,0,1,3,1,1,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,85,82,73,86,88,85,82,73,88,49,86
69,Leonardo Bonucci,Juventus,86,28500000.0,0,2,4,0,2,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,58,58,69,70,87,79
70,Ángel Di María,Paris Saint-Germain,86,39000000.0,1,5,2,1,0,86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,10,7,11,12,11,84,79,84,87,48,68
71,Miralem Pjanić,Juventus,86,42500000.0,0,3,4,1,1,80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,7,7,13,7,8,68,68,87,85,75,67
72,Ivan Rakitić,FC Barcelona,86,38000000.0,0,3,4,1,1,84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,14,11,12,5,9,62,81,86,81,74,70
73,Matthijs de Ligt,Juventus,85,50000000.0,0,2,4,0,1,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,12,11,11,12,10,67,58,66,68,83,84
74,Rodrigo Hernández Cascante,Manchester City,85,47000000.0,0,3,4,0,1,63,64,75,85,59,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82,46,85,82,84,78,10,10,7,14,8,67,68,77,77,82,80
75,Gianluigi Donnarumma,Milan,85,41500000.0,0,1,3,1,1,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50,24,68,20,14,16,90,80,74,80,90,90,80,74,90,50,80
76,Frenkie de Jong,FC Barcelona,85,52000000.0,0,4,3,0,1,75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77,7,13,10,10,9,79,64,84,87,76,76
77,Sergej Milinković-Savić,Lazio,85,50500000.0,0,4,4,1,0,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,67,79,80,83,77,84
78,Clément Lenglet,FC Barcelona,85,45000000.0,1,2,4,0,1,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81,10,10,9,12,7,75,45,68,65,86,80
79,José María Giménez,Atlético Madrid,85,45000000.0,0,2,3,0,1,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86,9,11,7,10,15,69,45,52,54,86,82
80,Andrew Robertson,Liverpool,85,43500000.0,1,3,2,0,0,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80,11,8,10,7,14,85,62,77,79,80,75
81,Bruno Miguel Borges Fernandes,Sporting CP,85,49000000.0,0,4,4,0,0,86,77,58,86,86,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88,87,86,66,64,57,12,14,15,8,14,77,83,87,85,65,74
82,Niklas Süle,FC Bayern München,85,46500000.0,0,2,3,1,1,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87,15,7,14,7,15,72,42,55,50,86,82
83,Fábio Henrique Tavares,Liverpool,85,45000000.0,0,3,2,0,1,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85,13,12,6,8,8,68,69,78,77,85,83
84,Hakim Ziyech,Ajax,85,45000000.0,1,4,2,1,0,84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,44,56,40,11,7,11,8,14,80,75,86,83,50,66
85,Saúl Ñíguez Esclápez,Atlético Madrid,85,49500000.0,1,3,4,0,0,69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77,7,13,12,10,9,70,78,79,81,78,78
86,Daniel Carvajal Ramos,Real Madrid,85,38000000.0,0,3,3,0,0,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85,13,13,15,9,15,81,47,78,81,82,80
87,Raphaël Varane,Real Madrid,85,45000000.0,0,2,3,0,1,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85,11,11,9,5,14,83,45,62,63,85,80
88,Mauro Icardi,Paris Saint-Germain,85,46000000.0,0,3,4,2,1,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,45,24,20,13,9,5,7,9,75,84,61,77,36,69
89,Allan Marques Loureiro,Napoli,85,38000000.0,0,4,3,0,1,70,74,59,86,56,84,65,49,79,84,79,71,82,89,86,73,69,94,79,69,90,89,79,80,53,85,88,88,86,13,13,5,5,8,75,71,78,84,85,84
90,Anthony Lopes,Olympique Lyonnais,85,33500000.0,1,1,2,1,1,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,56,82,36,73,18,43,25,9,48,16,65,13,15,13,87,80,75,84,89,87,80,75,89,64,84
91,James Rodríguez,Real Madrid,85,40500000.0,1,4,2,1,1,90,83,62,86,90,85,89,86,83,90,57,54,80,84,76,86,46,65,64,92,60,55,80,86,81,87,52,41,44,15,15,15,5,14,55,86,87,86,50,63
92,David Alaba,FC Bayern München,85,38000000.0,1,3,4,1,1,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80,5,7,14,15,9,83,73,81,80,80,76
93,Norberto Murara Neto,FC Barcelona,85,31000000.0,0,1,2,1,1,11,15,14,36,12,19,12,13,41,24,56,52,59,79,49,59,83,41,63,20,40,15,11,42,22,64,17,14,15,86,81,79,82,82,86,81,79,82,54,82
94,Jorge Resurrección,Atlético Madrid,85,40500000.0,0,3,4,0,0,86,72,61,89,56,82,85,76,87,85,70,67,71,87,80,84,63,92,75,81,79,79,82,85,59,84,74,78,64,14,12,5,10,13,68,75,86,82,74,79
95,Kostas Manolas,Napoli,85,37500000.0,0,2,2,0,2,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89,8,6,8,15,12,82,25,42,60,86,81
96,Iago Aspas Juncal,RC Celta,85,34500000.0,1,3,3,0,0,80,88,78,79,83,86,80,76,68,85,80,76,87,85,72,79,66,71,60,82,63,39,86,79,82,85,39,21,18,12,16,9,12,13,78,84,77,85,35,64
97,Romelu Lukaku,Inter,85,46000000.0,1,3,4,1,1,72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30,8,15,14,7,10,75,82,73,72,35,84
98,Alex Sandro Lobo Silva,Juventus,85,33000000.0,1,3,3,1,0,84,55,76,81,68,80,78,59,71,81,81,85,78,84,77,80,79,91,78,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,83,65,77,80,82,82
99,Roman Bürki,Borussia Dortmund,85,32000000.0,0,1,2,1,1,15,8,17,37,13,12,13,12,24,23,44,54,49,83,52,56,74,36,74,14,35,18,10,50,20,58,11,13,16,86,80,74,83,89,86,80,74,89,50,83
100,Péter Gulácsi,RB Leipzig,85,31000000.0,0,1,2,1,1,16,10,23,29,10,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42,24,45,25,16,20,84,86,81,84,86,84,86,81,86,43,84
101,Axel Witsel,Borussia Dortmund,85,31500000.0,0,4,4,0,1,69,71,81,89,77,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80,76,92,82,85,83,5,7,7,10,7,73,74,80,79,83,81
102,Marcelo Vieira da Silva,Real Madrid,85,28000000.0,1,5,4,2,0,89,73,75,85,63,89,84,67,77,92,82,80,85,85,86,82,77,79,78,70,81,81,83,80,59,85,71,79,82,12,5,5,5,9,81,74,83,89,77,79
103,Gareth Bale,Real Madrid,85,37500000.0,1,4,3,1,1,86,84,84,81,85,83,90,87,80,84,90,91,79,80,65,92,86,73,80,90,65,59,85,79,76,85,54,55,52,15,15,11,5,6,91,87,82,82,58,76
104,Blaise Matuidi,Juventus,85,25000000.0,1,2,2,0,1,74,60,68,83,72,76,60,52,77,79,77,73,83,84,79,78,84,90,74,67,86,86,72,74,56,82,85,84,86,8,11,5,10,14,75,66,76,78,83,81
105,Gonzalo Higuaín,Juventus,85,34500000.0,0,3,4,1,0,68,88,77,75,88,80,74,62,60,84,62,64,72,86,69,86,78,60,84,80,50,20,90,75,70,85,35,22,18,5,12,7,5,10,63,85,71,80,31,71
106,Alejandro Gómez,Atalanta,85,34000000.0,0,4,4,1,0,81,79,38,81,72,85,79,79,74,85,94,85,92,81,94,76,70,70,46,79,56,40,82,85,72,84,50,30,34,8,11,12,9,6,89,78,81,86,39,55
107,Zlatan Ibrahimović,LA Galaxy,85,14000000.0,0,5,4,2,1,70,86,83,77,88,77,80,78,73,84,57,55,72,82,39,90,68,59,87,88,84,20,91,84,89,90,28,37,24,13,15,10,9,12,56,88,77,77,34,78
108,Jiří Pavlenka,SV Werder Bremen,84,26000000.0,0,1,3,1,1,11,16,14,28,19,12,10,14,17,19,35,37,39,82,27,53,36,20,68,17,22,13,14,25,18,39,12,10,14,86,79,70,80,88,86,79,70,88,36,80
109,Kai Havertz,Bayer 04 Leverkusen,84,46000000.0,1,4,4,1,1,73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,39,46,38,6,8,11,10,12,84,78,79,84,44,65
110,Jadon Sancho,Borussia Dortmund,84,44500000.0,0,5,4,2,1,78,78,37,83,80,92,81,48,59,88,89,87,91,84,90,68,51,77,59,62,43,29,78,83,57,80,32,45,34,7,11,10,11,13,88,72,77,90,36,60
111,Ousmane Dembélé,FC Barcelona,84,42500000.0,1,5,5,1,0,84,79,43,82,76,89,82,64,76,85,94,93,89,78,83,83,59,69,52,78,54,36,78,78,75,82,42,30,33,6,6,14,10,13,93,79,80,87,36,57
112,Arthur Henrique Ramos Oliveira Melo,FC Barcelona,84,41000000.0,0,4,3,1,1,70,69,58,88,63,86,74,60,82,88,71,67,79,83,89,74,68,73,67,73,75,75,75,86,69,81,76,76,70,6,13,13,11,12,69,71,81,86,73,70
113,Lucas Hernández,FC Bayern München,84,37500000.0,1,2,3,0,0,78,53,82,79,46,65,59,39,63,79,79,83,70,85,68,62,85,83,79,51,86,83,62,63,42,76,81,84,86,10,7,8,14,10,81,54,70,71,83,82
